"Crewmate","Day","Event","Count"
"LSV","1","Times_Alive",87
"dokomoy","1","Times_Alive",146
"Keaton","1","Times_Alive",93
"zlubars","1","Times_Alive",102
"BK","1","Times_Alive",172
"Dreamy","1","Times_Alive",28
"5up","1","Times_Alive",11
"Eirik","1","Times_Alive",19
"wrapter","1","Times_Alive",67
"Mani","1","Times_Alive",87
"Gaby","1","Times_Alive",40
"samie","1","Times_Alive",3
"LadyAtarka","1","Times_Alive",65
"Oltanya","1","Times_Alive",76
"Bene","1","Times_Alive",3
"Ian","1","Times_Alive",82
"Pojo","1","Times_Alive",88
"Sam","1","Times_Alive",148
"Pheylop","1","Times_Alive",129
"jorbs","1","Times_Alive",87
"julie","1","Times_Alive",3
"Ahamkara","1","Times_Alive",111
"dcsports8","1","Times_Alive",30
"Ben P","1","Times_Alive",4
"Squirrel_Loot","1","Times_Alive",12
"Stunlock","1","Times_Alive",8
"Rada","1","Times_Alive",23
"PANCAKE","1","Times_Alive",3
"Memes","1","Times_Alive",53
"synthe","1","Times_Alive",5
"Emily","1","Times_Alive",11
"CoolJets","1","Times_Alive",36
"Ambiance","1","Times_Alive",4
"DBatterskull","1","Times_Alive",62
"bsweitz","1","Times_Alive",106
"Zyla","1","Times_Alive",20
"Andrew","1","Times_Alive",97
"Barnabus","1","Times_Alive",58
"Kyle","1","Times_Alive",12
"LegenVD","1","Times_Alive",11
"TheAsianAvenger","1","Times_Alive",7
"Whyin","1","Times_Alive",1
"GrahamLRR","1","Times_Alive",8
"Bloody","1","Times_Alive",93
"Seabats","1","Times_Alive",19
"AshlenRose","1","Times_Alive",4
"Voxy","1","Times_Alive",6
"SwayingRug","1","Times_Alive",1
"Fader","1","Times_Alive",29
"TomM","1","Times_Alive",49
"ScaldingHotSoup","1","Times_Alive",8
"Corey","1","Times_Alive",10
"Chosaucer","1","Times_Alive",70
"BennyB","1","Times_Alive",66
"Mullibok","1","Times_Alive",11
"JohnnyCatz","1","Times_Alive",3
"DoubleFried","1","Times_Alive",58
"Kibler","1","Times_Alive",30
"Rafon","1","Times_Alive",5
"HGRose","1","Times_Alive",32
"nucleosynth","1","Times_Alive",11
"Colossus","1","Times_Alive",2
"Trotske","1","Times_Alive",7
"Seven","1","Times_Alive",19
"Saku","1","Times_Alive",11
"Adrien","1","Times_Alive",2
"Riley","1","Times_Alive",6
"Toffel","1","Times_Alive",15
"Stranjak","1","Times_Alive",1
"hafu","1","Times_Alive",3
"DaveWilliams","1","Times_Alive",16
"Nairbly","1","Times_Alive",29
"Wolf","1","Times_Alive",7
"FoxBox","1","Times_Alive",12
"Ryuu","1","Times_Alive",10
"coco","1","Times_Alive",7
"yoinkster","1","Times_Alive",10
"DuckMyInt","1","Times_Alive",1
"Isaac","1","Times_Alive",3
"BRazz","1","Times_Alive",35
"Scott","1","Times_Alive",73
"Iroknight","1","Times_Alive",9
"Dix","1","Times_Alive",11
"Nick","1","Times_Alive",25
"Eric","1","Times_Alive",20
"Nate","1","Times_Alive",1
"AbeyBaby","1","Times_Alive",1
"TomRoss","1","Times_Alive",9
"BradNelson","1","Times_Alive",5
"Zhoola","1","Times_Alive",50
"Platypus","1","Times_Alive",37
"Jason","1","Times_Alive",54
"niphette","1","Times_Alive",2
"Bonde","1","Times_Alive",1
"LeeSharpe","1","Times_Alive",2
"GGards","1","Times_Alive",3
"SamSherman","1","Times_Alive",1
"CALC","1","Times_Alive",0
"honk","1","Times_Alive",47
"Murklurker","1","Times_Alive",6
"Aberdasher","1","Times_Alive",3
"rettoto","1","Times_Alive",1
"MurkLurker","1","Times_Alive",6
"flutter","1","Times_Alive",18
"Skadj","1","Times_Alive",1
"ZJ","1","Times_Alive",5
"sponsz","1","Times_Alive",2
"Bim","1","Times_Alive",3
"HunterPence","1","Times_Alive",2
"LSV","1","Times_Dead",24
"dokomoy","1","Times_Dead",25
"Keaton","1","Times_Dead",23
"zlubars","1","Times_Dead",12
"BK","1","Times_Dead",44
"Dreamy","1","Times_Dead",5
"5up","1","Times_Dead",1
"Eirik","1","Times_Dead",7
"wrapter","1","Times_Dead",15
"Mani","1","Times_Dead",20
"Gaby","1","Times_Dead",9
"samie","1","Times_Dead",0
"LadyAtarka","1","Times_Dead",12
"Oltanya","1","Times_Dead",17
"Bene","1","Times_Dead",0
"Ian","1","Times_Dead",19
"Pojo","1","Times_Dead",10
"Sam","1","Times_Dead",32
"Pheylop","1","Times_Dead",22
"jorbs","1","Times_Dead",30
"julie","1","Times_Dead",0
"Ahamkara","1","Times_Dead",29
"dcsports8","1","Times_Dead",8
"Ben P","1","Times_Dead",2
"Squirrel_Loot","1","Times_Dead",3
"Stunlock","1","Times_Dead",1
"Rada","1","Times_Dead",5
"PANCAKE","1","Times_Dead",0
"Memes","1","Times_Dead",11
"synthe","1","Times_Dead",0
"Emily","1","Times_Dead",2
"CoolJets","1","Times_Dead",14
"Ambiance","1","Times_Dead",1
"DBatterskull","1","Times_Dead",32
"bsweitz","1","Times_Dead",20
"Zyla","1","Times_Dead",3
"Andrew","1","Times_Dead",22
"Barnabus","1","Times_Dead",13
"Kyle","1","Times_Dead",6
"LegenVD","1","Times_Dead",1
"TheAsianAvenger","1","Times_Dead",3
"Whyin","1","Times_Dead",0
"GrahamLRR","1","Times_Dead",2
"Bloody","1","Times_Dead",20
"Seabats","1","Times_Dead",2
"AshlenRose","1","Times_Dead",3
"Voxy","1","Times_Dead",3
"SwayingRug","1","Times_Dead",0
"Fader","1","Times_Dead",14
"TomM","1","Times_Dead",4
"ScaldingHotSoup","1","Times_Dead",3
"Corey","1","Times_Dead",2
"Chosaucer","1","Times_Dead",20
"BennyB","1","Times_Dead",12
"Mullibok","1","Times_Dead",1
"JohnnyCatz","1","Times_Dead",1
"DoubleFried","1","Times_Dead",10
"Kibler","1","Times_Dead",6
"Rafon","1","Times_Dead",3
"HGRose","1","Times_Dead",6
"nucleosynth","1","Times_Dead",3
"Colossus","1","Times_Dead",0
"Trotske","1","Times_Dead",2
"Seven","1","Times_Dead",5
"Saku","1","Times_Dead",1
"Adrien","1","Times_Dead",0
"Riley","1","Times_Dead",1
"Toffel","1","Times_Dead",3
"Stranjak","1","Times_Dead",0
"hafu","1","Times_Dead",1
"DaveWilliams","1","Times_Dead",2
"Nairbly","1","Times_Dead",8
"Wolf","1","Times_Dead",0
"FoxBox","1","Times_Dead",2
"Ryuu","1","Times_Dead",3
"coco","1","Times_Dead",1
"yoinkster","1","Times_Dead",4
"DuckMyInt","1","Times_Dead",1
"Isaac","1","Times_Dead",0
"BRazz","1","Times_Dead",11
"Scott","1","Times_Dead",20
"Iroknight","1","Times_Dead",1
"Dix","1","Times_Dead",4
"Nick","1","Times_Dead",9
"Eric","1","Times_Dead",3
"Nate","1","Times_Dead",0
"AbeyBaby","1","Times_Dead",1
"TomRoss","1","Times_Dead",3
"BradNelson","1","Times_Dead",2
"Zhoola","1","Times_Dead",12
"Platypus","1","Times_Dead",3
"Jason","1","Times_Dead",9
"niphette","1","Times_Dead",0
"Bonde","1","Times_Dead",0
"LeeSharpe","1","Times_Dead",1
"GGards","1","Times_Dead",0
"SamSherman","1","Times_Dead",0
"CALC","1","Times_Dead",1
"honk","1","Times_Dead",8
"Murklurker","1","Times_Dead",1
"Aberdasher","1","Times_Dead",1
"rettoto","1","Times_Dead",1
"MurkLurker","1","Times_Dead",1
"flutter","1","Times_Dead",6
"Skadj","1","Times_Dead",0
"ZJ","1","Times_Dead",2
"sponsz","1","Times_Dead",1
"Bim","1","Times_Dead",0
"HunterPence","1","Times_Dead",1
"LSV","1","Skipped",48
"dokomoy","1","Skipped",83
"Keaton","1","Skipped",60
"zlubars","1","Skipped",62
"BK","1","Skipped",107
"Dreamy","1","Skipped",20
"5up","1","Skipped",9
"Eirik","1","Skipped",14
"wrapter","1","Skipped",42
"Mani","1","Skipped",42
"Gaby","1","Skipped",25
"samie","1","Skipped",2
"LadyAtarka","1","Skipped",37
"Oltanya","1","Skipped",51
"Bene","1","Skipped",2
"Ian","1","Skipped",52
"Pojo","1","Skipped",51
"Sam","1","Skipped",86
"Pheylop","1","Skipped",73
"jorbs","1","Skipped",47
"julie","1","Skipped",2
"Ahamkara","1","Skipped",65
"dcsports8","1","Skipped",17
"Ben P","1","Skipped",2
"Squirrel_Loot","1","Skipped",8
"Stunlock","1","Skipped",2
"Rada","1","Skipped",8
"PANCAKE","1","Skipped",1
"Memes","1","Skipped",30
"synthe","1","Skipped",1
"Emily","1","Skipped",5
"CoolJets","1","Skipped",23
"Ambiance","1","Skipped",1
"DBatterskull","1","Skipped",36
"bsweitz","1","Skipped",67
"Zyla","1","Skipped",11
"Andrew","1","Skipped",54
"Barnabus","1","Skipped",44
"Kyle","1","Skipped",5
"LegenVD","1","Skipped",7
"TheAsianAvenger","1","Skipped",6
"Whyin","1","Skipped",1
"GrahamLRR","1","Skipped",7
"Bloody","1","Skipped",65
"Seabats","1","Skipped",11
"AshlenRose","1","Skipped",3
"Voxy","1","Skipped",5
"SwayingRug","1","Skipped",1
"Fader","1","Skipped",17
"TomM","1","Skipped",23
"ScaldingHotSoup","1","Skipped",6
"Corey","1","Skipped",7
"Chosaucer","1","Skipped",39
"BennyB","1","Skipped",42
"Mullibok","1","Skipped",8
"JohnnyCatz","1","Skipped",3
"DoubleFried","1","Skipped",32
"Kibler","1","Skipped",17
"Rafon","1","Skipped",2
"HGRose","1","Skipped",19
"nucleosynth","1","Skipped",7
"Colossus","1","Skipped",2
"Trotske","1","Skipped",4
"Seven","1","Skipped",11
"Saku","1","Skipped",10
"Adrien","1","Skipped",2
"Riley","1","Skipped",5
"Toffel","1","Skipped",9
"Stranjak","1","Skipped",0
"hafu","1","Skipped",2
"DaveWilliams","1","Skipped",10
"Nairbly","1","Skipped",16
"Wolf","1","Skipped",4
"FoxBox","1","Skipped",7
"Ryuu","1","Skipped",8
"coco","1","Skipped",5
"yoinkster","1","Skipped",6
"DuckMyInt","1","Skipped",1
"Isaac","1","Skipped",2
"BRazz","1","Skipped",22
"Scott","1","Skipped",37
"Iroknight","1","Skipped",5
"Dix","1","Skipped",5
"Nick","1","Skipped",14
"Eric","1","Skipped",10
"Nate","1","Skipped",0
"AbeyBaby","1","Skipped",0
"TomRoss","1","Skipped",5
"BradNelson","1","Skipped",3
"Zhoola","1","Skipped",27
"Platypus","1","Skipped",19
"Jason","1","Skipped",37
"niphette","1","Skipped",1
"Bonde","1","Skipped",0
"LeeSharpe","1","Skipped",1
"GGards","1","Skipped",2
"SamSherman","1","Skipped",1
"CALC","1","Skipped",0
"honk","1","Skipped",27
"Murklurker","1","Skipped",5
"Aberdasher","1","Skipped",1
"rettoto","1","Skipped",1
"MurkLurker","1","Skipped",5
"flutter","1","Skipped",12
"Skadj","1","Skipped",1
"ZJ","1","Skipped",1
"sponsz","1","Skipped",2
"Bim","1","Skipped",1
"HunterPence","1","Skipped",1
"LSV","1","Voted_Impostor",26
"dokomoy","1","Voted_Impostor",50
"Keaton","1","Voted_Impostor",27
"zlubars","1","Voted_Impostor",33
"BK","1","Voted_Impostor",53
"Dreamy","1","Voted_Impostor",6
"5up","1","Voted_Impostor",1
"Eirik","1","Voted_Impostor",4
"wrapter","1","Voted_Impostor",20
"Mani","1","Voted_Impostor",34
"Gaby","1","Voted_Impostor",7
"samie","1","Voted_Impostor",1
"LadyAtarka","1","Voted_Impostor",23
"Oltanya","1","Voted_Impostor",22
"Bene","1","Voted_Impostor",1
"Ian","1","Voted_Impostor",23
"Pojo","1","Voted_Impostor",30
"Sam","1","Voted_Impostor",46
"Pheylop","1","Voted_Impostor",46
"jorbs","1","Voted_Impostor",35
"julie","1","Voted_Impostor",1
"Ahamkara","1","Voted_Impostor",38
"dcsports8","1","Voted_Impostor",9
"Ben P","1","Voted_Impostor",0
"Squirrel_Loot","1","Voted_Impostor",4
"Stunlock","1","Voted_Impostor",5
"Rada","1","Voted_Impostor",13
"PANCAKE","1","Voted_Impostor",0
"Memes","1","Voted_Impostor",17
"synthe","1","Voted_Impostor",4
"Emily","1","Voted_Impostor",5
"CoolJets","1","Voted_Impostor",10
"Ambiance","1","Voted_Impostor",2
"DBatterskull","1","Voted_Impostor",16
"bsweitz","1","Voted_Impostor",31
"Zyla","1","Voted_Impostor",7
"Andrew","1","Voted_Impostor",30
"Barnabus","1","Voted_Impostor",5
"Kyle","1","Voted_Impostor",5
"LegenVD","1","Voted_Impostor",3
"TheAsianAvenger","1","Voted_Impostor",0
"Whyin","1","Voted_Impostor",0
"GrahamLRR","1","Voted_Impostor",1
"Bloody","1","Voted_Impostor",20
"Seabats","1","Voted_Impostor",5
"AshlenRose","1","Voted_Impostor",1
"Voxy","1","Voted_Impostor",1
"SwayingRug","1","Voted_Impostor",0
"Fader","1","Voted_Impostor",9
"TomM","1","Voted_Impostor",21
"ScaldingHotSoup","1","Voted_Impostor",2
"Corey","1","Voted_Impostor",1
"Chosaucer","1","Voted_Impostor",23
"BennyB","1","Voted_Impostor",17
"Mullibok","1","Voted_Impostor",2
"JohnnyCatz","1","Voted_Impostor",0
"DoubleFried","1","Voted_Impostor",23
"Kibler","1","Voted_Impostor",8
"Rafon","1","Voted_Impostor",2
"HGRose","1","Voted_Impostor",8
"nucleosynth","1","Voted_Impostor",4
"Colossus","1","Voted_Impostor",0
"Trotske","1","Voted_Impostor",2
"Seven","1","Voted_Impostor",6
"Saku","1","Voted_Impostor",1
"Adrien","1","Voted_Impostor",0
"Riley","1","Voted_Impostor",1
"Toffel","1","Voted_Impostor",5
"Stranjak","1","Voted_Impostor",1
"hafu","1","Voted_Impostor",1
"DaveWilliams","1","Voted_Impostor",3
"Nairbly","1","Voted_Impostor",12
"Wolf","1","Voted_Impostor",2
"FoxBox","1","Voted_Impostor",2
"Ryuu","1","Voted_Impostor",0
"coco","1","Voted_Impostor",0
"yoinkster","1","Voted_Impostor",1
"DuckMyInt","1","Voted_Impostor",0
"Isaac","1","Voted_Impostor",1
"BRazz","1","Voted_Impostor",13
"Scott","1","Voted_Impostor",26
"Iroknight","1","Voted_Impostor",4
"Dix","1","Voted_Impostor",6
"Nick","1","Voted_Impostor",9
"Eric","1","Voted_Impostor",8
"Nate","1","Voted_Impostor",1
"AbeyBaby","1","Voted_Impostor",1
"TomRoss","1","Voted_Impostor",3
"BradNelson","1","Voted_Impostor",1
"Zhoola","1","Voted_Impostor",16
"Platypus","1","Voted_Impostor",14
"Jason","1","Voted_Impostor",12
"niphette","1","Voted_Impostor",0
"Bonde","1","Voted_Impostor",0
"LeeSharpe","1","Voted_Impostor",1
"GGards","1","Voted_Impostor",1
"SamSherman","1","Voted_Impostor",0
"CALC","1","Voted_Impostor",0
"honk","1","Voted_Impostor",14
"Murklurker","1","Voted_Impostor",0
"Aberdasher","1","Voted_Impostor",2
"rettoto","1","Voted_Impostor",0
"MurkLurker","1","Voted_Impostor",0
"flutter","1","Voted_Impostor",4
"Skadj","1","Voted_Impostor",0
"ZJ","1","Voted_Impostor",4
"sponsz","1","Voted_Impostor",0
"Bim","1","Voted_Impostor",1
"HunterPence","1","Voted_Impostor",0
"LSV","1","Voted_Crew",13
"dokomoy","1","Voted_Crew",13
"Keaton","1","Voted_Crew",6
"zlubars","1","Voted_Crew",7
"BK","1","Voted_Crew",12
"Dreamy","1","Voted_Crew",2
"5up","1","Voted_Crew",1
"Eirik","1","Voted_Crew",1
"wrapter","1","Voted_Crew",5
"Mani","1","Voted_Crew",11
"Gaby","1","Voted_Crew",8
"samie","1","Voted_Crew",0
"LadyAtarka","1","Voted_Crew",5
"Oltanya","1","Voted_Crew",3
"Bene","1","Voted_Crew",0
"Ian","1","Voted_Crew",7
"Pojo","1","Voted_Crew",7
"Sam","1","Voted_Crew",16
"Pheylop","1","Voted_Crew",10
"jorbs","1","Voted_Crew",5
"julie","1","Voted_Crew",0
"Ahamkara","1","Voted_Crew",8
