"Game","Map","Outcome","Event","Player_Team","Action","Player","Concat1","Role1","Concat","Role","Game_Feed","Getting_Voted_Off","Getting_Killed","Game_Player_That_Died","Day","Dying_Feed","Killing_Feed","Finding_Bodies_Feed","Body_Found_Feed","Meeting_Called_Feed","First_Kill_Feed","Self_Report_Code","Self_Report_Feed","Voted_Off_As_Crew_Feed","Body_Skipped_Feed","Votes_Off_Code","Vote_ID","Day_1_Vote","Crew_Alive","Impostors_Alive","Score","Crew_1","Is_Crew_1_Alive_1","Vote1","Crew_2","Is_Crew_1_Alive_2","Vote2","Crew_3","Is_Crew_3_Alive","Vote3","Crew_4","Is_Crew_4_Alive?","Vote4","Crew_5","Is_Crew_5_alive?","Vote5","Crew_6","Is_Crew_6_Alive?","Vote6","Crew_7","Is_Crew_7_Alive?","Vote7","Crew_8","Is_Crew_8_Alive?","Vote8"
1,"Polus",NA,5,"BK","finds body of","zlubars","1-BK","(Crew)","1-zlubars","(Crew).","BK (Crew) finds body of zlubars (Crew).",NA,NA,NA,2,NA,NA,"BK","zlubars",NA,NA,NA,NA,NA,NA,2,"1-2","Impostor voted off.",6,2,"6-2","LSV","No","2-LSV-Dead","dokomoy","Yes","2-dokomoy-Impostor voted off.","Keaton","Yes","2-Keaton-Impostor voted off.","zlubars","No","2-zlubars-Dead","BK","Yes","2-BK-Impostor voted off.","Dreamy","Yes","2-Dreamy-Impostor voted off.","5up","Yes","2-5up-Impostor voted off.","Eirik","Yes","2-Eirik-Impostor voted off."
1,"Polus",NA,6,"Crew","votes off","mani","1-Crew",NA,"1-mani","(Impostor).","Crew votes off mani (Impostor).","mani",NA,"1-mani",2,"mani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,"6-2","LSV","No",NA,"dokomoy","Yes",NA,"Keaton","Yes",NA,"zlubars","No",NA,"BK","Yes",NA,"Dreamy","Yes",NA,"5up","Yes",NA,"Eirik","Yes",NA
1,"Polus",NA,7,"wrapter","kills","Eirik","1-wrapter","(Impostor)","1-Eirik","(Crew).","wrapter (Impostor) kills Eirik (Crew).",NA,"Eirik","1-Eirik",3,"Eirik","wrapter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,"6-1","LSV","No",NA,"dokomoy","Yes",NA,"Keaton","Yes",NA,"zlubars","No",NA,"BK","Yes",NA,"Dreamy","Yes",NA,"5up","Yes",NA,"Eirik","Yes",NA
1,"Polus",NA,8,"5up","finds body of","Eirik","1-5up","(Crew)","1-Eirik","(Crew).","5up (Crew) finds body of Eirik (Crew).",NA,NA,NA,3,NA,NA,"5up","Eirik",NA,NA,NA,NA,NA,NA,2,"1-3","Impostor voted off.",5,1,"5-1","LSV","No","3-LSV-Dead","dokomoy","Yes","3-dokomoy-Impostor voted off.","Keaton","Yes","3-Keaton-Impostor voted off.","zlubars","No","3-zlubars-Dead","BK","Yes","3-BK-Impostor voted off.","Dreamy","Yes","3-Dreamy-Impostor voted off.","5up","Yes","3-5up-Impostor voted off.","Eirik","No","3-Eirik-Dead"
1,"Polus",NA,9,"Crew","votes off","wrapter","1-Crew",NA,"1-wrapter","(Impostor).","Crew votes off wrapter (Impostor).","wrapter",NA,"1-wrapter",3,"wrapter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,"5-1","LSV","No",NA,"dokomoy","Yes",NA,"Keaton","Yes",NA,"zlubars","No",NA,"BK","Yes",NA,"Dreamy","Yes",NA,"5up","Yes",NA,"Eirik","No",NA
1,"Polus","1-End",10,NA,"Crew Win - Voting",NA,"1-",NA,"1-",NA,"Crew Win - Voting",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,"5-0","LSV","No",NA,"dokomoy","Yes",NA,"Keaton","Yes",NA,"zlubars","No",NA,"BK","Yes",NA,"Dreamy","Yes",NA,"5up","Yes",NA,"Eirik","No",NA
2,"Polus",NA,1,"Dreamy","kills","Mani","2-Dreamy","(Impostor)","2-Mani","(Crew).","Dreamy (Impostor) kills Mani (Crew).",NA,"Mani","2-Mani",1,"Mani","Dreamy",NA,NA,NA,"Mani",NA,NA,NA,NA,NA,NA,NA,8,2,"8-2","LSV","Yes",NA,"wrapter","Yes",NA,"Keaton","Yes",NA,"zlubars","Yes",NA,"BK","Yes",NA,"Mani","Yes",NA,"5up","Yes",NA,"Eirik","Yes",NA
2,"Polus",NA,2,"dokomoy","finds body of","Mani","2-dokomoy","(Impostor)","2-Mani","(Crew).","dokomoy (Impostor) finds body of Mani (Crew).",NA,NA,NA,1,NA,NA,"dokomoy","Mani",NA,NA,1,"Co-Impostor report",NA,"Skipped - Body Found",0,"2-1","Skipped Vote.",7,2,"7-2","LSV","Yes","1-LSV-Skipped Vote.","wrapter","Yes","1-wrapter-Skipped Vote.","Keaton","Yes","1-Keaton-Skipped Vote.","zlubars","Yes","1-zlubars-Skipped Vote.","BK","Yes","1-BK-Skipped Vote.","Mani","No","1-Mani-Dead","5up","Yes","1-5up-Skipped Vote.","Eirik","Yes","1-Eirik-Skipped Vote."
2,"Polus",NA,3,"Crew","skips voting.",NA,"2-Crew",NA,"2-",NA,"Crew skips voting.",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,"7-2","LSV","Yes",NA,"wrapter","Yes",NA,"Keaton","Yes",NA,"zlubars","Yes",NA,"BK","Yes",NA,"Mani","No",NA,"5up","Yes",NA,"Eirik","Yes",NA
2,"Polus",NA,4,"Dreamy","kills","BK","2-Dreamy","(Impostor)","2-BK","(Crew).","Dreamy (Impostor) kills BK (Crew).",NA,"BK","2-BK",2,"BK","Dreamy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,"7-2","LSV","Yes",NA,"wrapter","Yes",NA,"Keaton","Yes",NA,"zlubars","Yes",NA,"BK","Yes",NA,"Mani","No",NA,"5up","Yes",NA,"Eirik","Yes",NA
2,"Polus",NA,5,"Dreamy","kills","Keaton","2-Dreamy","(Impostor)","2-Keaton","(Crew).","Dreamy (Impostor) kills Keaton (Crew).",NA,"Keaton","2-Keaton",2,"Keaton","Dreamy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,"6-2","LSV","Yes",NA,"wrapter","Yes",NA,"Keaton","Yes",NA,"zlubars","Yes",NA,"BK","No",NA,"Mani","No",NA,"5up","Yes",NA,"Eirik","Yes",NA
2,"Polus",NA,6,"Dreamy","kills","wrapter","2-Dreamy","(Impostor)","2-wrapter","(Crew).","Dreamy (Impostor) kills wrapter (Crew).",NA,"wrapter","2-wrapter",2,"wrapter","Dreamy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,"5-2","LSV","Yes",NA,"wrapter","Yes",NA,"Keaton","No",NA,"zlubars","Yes",NA,"BK","No",NA,"Mani","No",NA,"5up","Yes",NA,"Eirik","Yes",NA
2,"Polus",NA,7,"LSV","finds body of","Keaton","2-LSV","(Crew)","2-Keaton","(Crew).","LSV (Crew) finds body of Keaton (Crew).",NA,NA,NA,2,NA,NA,"LSV","Keaton",NA,NA,NA,NA,NA,NA,2,"2-2","Impostor voted off.",4,2,"4-2","LSV","Yes","2-LSV-Impostor voted off.","wrapter","No","2-wrapter-Dead","Keaton","No","2-Keaton-Dead","zlubars","Yes","2-zlubars-Impostor voted off.","BK","No","2-BK-Dead","Mani","No","2-Mani-Dead","5up","Yes","2-5up-Impostor voted off.","Eirik","Yes","2-Eirik-Impostor voted off."
2,"Polus",NA,8,"Crew","votes off","Dreamy","2-Crew",NA,"2-Dreamy","(Impostor).","Crew votes off Dreamy (Impostor).","Dreamy",NA,"2-Dreamy",2,"Dreamy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"4-2","LSV","Yes",NA,"wrapter","No",NA,"Keaton","No",NA,"zlubars","Yes",NA,"BK","No",NA,"Mani","No",NA,"5up","Yes",NA,"Eirik","Yes",NA
2,"Polus",NA,9,"wrapter","calls an emergency meeting.",NA,"2-wrapter","(Crew)","2-",NA,"wrapter (Crew) calls an emergency meeting.",NA,NA,NA,3,NA,NA,NA,NA,"wrapter",NA,NA,NA,NA,NA,2,"2-3","Impostor voted off.",4,1,"4-1","LSV","Yes","3-LSV-Impostor voted off.","wrapter","No","3-wrapter-Dead","Keaton","No","3-Keaton-Dead","zlubars","Yes","3-zlubars-Impostor voted off.","BK","No","3-BK-Dead","Mani","No","3-Mani-Dead","5up","Yes","3-5up-Impostor voted off.","Eirik","Yes","3-Eirik-Impostor voted off."
2,"Polus",NA,10,"Crew","votes off","dokomoy","2-Crew",NA,"2-dokomoy","(Impostor).","Crew votes off dokomoy (Impostor).","dokomoy",NA,"2-dokomoy",3,"dokomoy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,"4-1","LSV","Yes",NA,"wrapter","No",NA,"Keaton","No",NA,"zlubars","Yes",NA,"BK","No",NA,"Mani","No",NA,"5up","Yes",NA,"Eirik","Yes",NA
2,"Polus","2-End",11,NA,"Crew Win - Voting",NA,"2-",NA,"2-",NA,"Crew Win - Voting",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,"4-0","LSV","Yes",NA,"wrapter","No",NA,"Keaton","No",NA,"zlubars","Yes",NA,"BK","No",NA,"Mani","No",NA,"5up","Yes",NA,"Eirik","Yes",NA
3,"Polus",NA,1,"Keaton","kills","BK","3-Keaton","(Impostor)","3-BK","(Crew).","Keaton (Impostor) kills BK (Crew).",NA,"BK","3-BK",1,"BK","Keaton",NA,NA,NA,"BK",NA,NA,NA,NA,NA,NA,NA,8,2,"8-2","LSV","Yes",NA,"wrapter","Yes",NA,"zlubars","Yes",NA,"BK","Yes",NA,"Mani","Yes",NA,"5up","Yes",NA,"Eirik","Yes",NA,"dokomoy","Yes",NA
3,"Polus",NA,2,"Keaton","finds body of","BK","3-Keaton","(Impostor)","3-BK","(Crew).","Keaton (Impostor) finds body of BK (Crew).",NA,NA,NA,1,NA,NA,"Keaton","BK",NA,NA,1,"Keaton",NA,"Skipped - Body Found",0,"3-1","Skipped Vote.",7,2,"7-2","LSV","Yes","1-LSV-Skipped Vote.","wrapter","Yes","1-wrapter-Skipped Vote.","zlubars","Yes","1-zlubars-Skipped Vote.","BK","No","1-BK-Dead","Mani","Yes","1-Mani-Skipped Vote.","5up","Yes","1-5up-Skipped Vote.","Eirik","Yes","1-Eirik-Skipped Vote.","dokomoy","Yes","1-dokomoy-Skipped Vote."
3,"Polus",NA,3,"Crew","skips voting.",NA,"3-Crew",NA,"3-",NA,"Crew skips voting.",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,"7-2","LSV","Yes",NA,"wrapter","Yes",NA,"zlubars","Yes",NA,"BK","No",NA,"Mani","Yes",NA,"5up","Yes",NA,"Eirik","Yes",NA,"dokomoy","Yes",NA
