"Index","Players","Total_Games","Crew_Games","Impostor_Games","Impostor_Rate","Crew_Win_Percentage","Impostor_Win_Percentage","Combined_Win_Percentage","Voted_Off_As_Crew","Voted_Off_As_Impostor","Voted_Off_In_Total","Impostor_Kills_Per_Life","Impostor_Deaths_Per_Life","Impostor_Voted_Off_On_Day_One","Imposter_Self_Reports_Per_Life","CoImpostor_Reports_Per_Life","Team_Reports_Per_Life","KDR","Crew_Deaths_Per_Life","Crew_Murdered_Per_Life","Crew_Voted_Off_Per_Life","Crew_Death_On_Day_One","Crew_Bondies_Found_Per_Life","Crew_Voting_Accuracy_Per_Life","Overall_Skill","Crew_Impostor_Win_Rate_Delta","Voting_Aggression"
1,"BK",271,217,54,0.199261992619926,0.654377880184332,0.611111111111111,0.645756457564576,0.0599078341013825,0.407407407407407,0.129151291512915,2.09259259259259,0.407407407407407,0.111111111111111,0.111111111111111,0.0555555555555556,0.166666666666667,5.13636363636364,0.608294930875576,0.548387096774194,0.0599078341013825,0.207373271889401,0.368663594470046,0.760683760683761,1.68268597761685,0.0432667690732207,0.539170506912442
2,"TomM",64,53,11,0.171875,0.735849056603774,0.545454545454545,0.703125,0.0188679245283019,0.636363636363636,0.125,2.09090909090909,0.636363636363636,0.0909090909090909,0.181818181818182,0.272727272727273,0.454545454545455,3.28571428571429,0.452830188679245,0.433962264150943,0.0188679245283019,0.0754716981132075,0.39622641509434,0.797101449275362,1.6188679245283,0.190394511149228,0.570247933884298
3,"Barnabus",81,71,10,0.123456790123457,0.633802816901408,0.6,0.62962962962963,0.112676056338028,0.5,0.160493827160494,1.8,0.5,0.4,0,0,0,3.6,0.619718309859155,0.507042253521127,0.112676056338028,0.183098591549296,0.253521126760563,0.586666666666667,1.58450704225352,0.0338028169014085,0.483870967741935
4,"wrapter",102,82,20,0.196078431372549,0.646341463414634,0.55,0.627450980392157,0.0731707317073171,0.45,0.147058823529412,2.55,0.45,0.1,0.25,0.05,0.3,5.66666666666667,0.731707317073171,0.658536585365854,0.0731707317073171,0.182926829268293,0.390243902439024,0.7,1.43631436314363,0.0963414634146341,0.496894409937888
5,"Pheylop",184,151,33,0.179347826086957,0.728476821192053,0.484848484848485,0.684782608695652,0.0463576158940397,0.545454545454545,0.135869565217391,2.54545454545455,0.545454545454545,0.151515151515152,0.0606060606060606,0.0303030303030303,0.0909090909090909,4.66666666666667,0.543046357615894,0.496688741721854,0.0463576158940397,0.145695364238411,0.344370860927152,0.759776536312849,1.41410206466693,0.243628336343568,0.545731707317073
6,"Chosaucer",121,90,31,0.256198347107438,0.766666666666667,0.451612903225806,0.685950413223141,0.0555555555555556,0.580645161290323,0.190082644628099,2.58064516129032,0.580645161290323,0.161290322580645,0.129032258064516,0.129032258064516,0.258064516129032,4.44444444444444,0.611111111111111,0.555555555555556,0.0555555555555556,0.222222222222222,0.488888888888889,0.752688172043011,1.39803921568627,0.31505376344086,0.519553072625698
7,"Mani",143,108,35,0.244755244755245,0.694444444444444,0.485714285714286,0.643356643356643,0.0462962962962963,0.428571428571429,0.13986013986014,2.51428571428571,0.428571428571429,0.0857142857142857,0.142857142857143,0.0857142857142857,0.228571428571429,5.86666666666667,0.62037037037037,0.574074074074074,0.0462962962962963,0.194444444444444,0.398148148148148,0.737704918032787,1.35030864197531,0.208730158730159,0.570093457943925
8,"LSV",140,111,29,0.207142857142857,0.603603603603604,0.551724137931034,0.592857142857143,0.027027027027027,0.379310344827586,0.1,2.6551724137931,0.379310344827586,0.0689655172413793,0.172413793103448,0.172413793103448,0.344827586206897,7,0.630630630630631,0.603603603603604,0.027027027027027,0.216216216216216,0.369369369369369,0.714285714285714,1.34650034650035,0.0518794656725692,0.549019607843137
9,"Keaton",142,116,26,0.183098591549296,0.646551724137931,0.5,0.619718309859155,0.0431034482758621,0.5,0.126760563380282,2.61538461538462,0.5,0.0384615384615385,0.307692307692308,0,0.307692307692308,5.23076923076923,0.551724137931034,0.508620689655172,0.0431034482758621,0.198275862068966,0.405172413793103,0.793388429752066,1.29310344827586,0.146551724137931,0.510548523206751
10,"Ian",121,101,20,0.165289256198347,0.702970297029703,0.45,0.661157024793388,0.0792079207920792,0.5,0.148760330578512,1.9,0.5,0.1,0.05,0,0.05,3.8,0.663366336633663,0.584158415841584,0.0792079207920792,0.188118811881188,0.287128712871287,0.647058823529412,1.27812781278128,0.252970297029703,0.5
