"Players","Games_Played","Crew_Games","Crew_Wins_Voting","Crew_Wins_Tasks","Crew_Losses_Kills","Crew_Losses_Sabotage","Crew_Wins_Combined","Crew_Losses","Impostor_Games","Impostor_Wins_Kills","Impostor_Wins_Sabotage","Impostor_Wins_Combined","Impostor_Losses","Total_Wins","Total_Losses","Kills","Deaths_Voted_off_as_Impostor","Deaths_Voted_Off_As_Crew","Deaths_Murdered","Deaths_Total","Number_Of_Bodies_Found_As_Crew","Self_Reports","CoImpostor_Bodies_Found","Total_Bodies_Found","Times_Found_As_Body","Emergency_Meetings_Called","Killed_On_Day","Impostor_Aggression","Times_Killed_Day_One","Times_Voted_Off_Day_One_As_Impostor","Number_Of_Games_This_Player_Survived_Day_One_As_Crew"
"BK",271,217,121,21,74,1,142,75,54,33,0,33,21,175,96,113,22,13,119,154,71,6,3,80,65,14,2.15966386554622,2.29203539823009,45,6,217
"Dreamy",40,33,19,2,12,0,21,12,7,0,0,0,7,21,19,17,6,4,13,23,8,3,0,11,5,4,1.84615384615385,2.05882352941176,5,1,33
"5up",17,12,9,0,3,0,9,3,5,5,0,5,0,14,3,14,0,0,5,5,5,0,2,7,3,2,2.2,2.71428571428571,1,0,12
"Eirik",33,26,16,1,9,0,17,9,7,4,0,4,3,21,12,11,4,3,13,20,6,0,1,7,7,2,2.30769230769231,2,7,1,26
"wrapter",102,82,49,4,28,1,53,29,20,11,0,11,9,64,38,51,9,6,54,69,26,5,1,32,29,13,2.40740740740741,2.05882352941176,15,2,82
"Mani",143,108,66,9,32,1,75,33,35,17,0,17,18,92,51,88,15,5,62,82,35,5,3,43,36,17,2.2258064516129,2.30681818181818,21,3,108
"Gaby",71,49,23,4,22,0,27,22,22,8,1,9,13,36,35,45,15,6,27,48,10,3,3,16,18,7,2.2962962962963,2.46666666666667,9,3,49
"samie",3,3,1,0,2,0,1,2,0,0,0,0,0,1,2,0,0,1,2,3,0,0,0,0,1,0,3,NA,0,0,3
"LadyAtarka",107,77,36,10,31,0,46,31,30,7,0,7,23,53,54,59,22,5,38,65,25,4,4,33,19,1,2.28947368421053,2.13559322033898,13,6,77
"Oltanya",121,94,55,12,27,0,67,27,27,10,0,10,17,77,44,60,17,3,55,75,22,3,5,30,29,4,2.09090909090909,2.3,18,2,94
"Bene",3,3,2,0,1,0,2,1,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,4,NA,0,0,3
"Ian",121,101,57,14,29,1,71,30,20,9,0,9,11,80,41,38,10,8,59,77,28,1,0,29,36,10,2.27118644067797,2.65789473684211,19,2,101
"Pojo",117,98,53,12,32,1,65,33,19,3,0,3,16,68,49,36,14,10,50,74,31,4,1,36,22,7,2.62,1.86111111111111,10,5,98
